Year,Month,Day,Maximum temperature (Degree C),Rainfall amount (millimetres),Daily global solar exposure (MJ/m*m)
2017,11,14,29.5,0,30
2017,11,15,32.1,0,29.9
2017,11,16,35.7,0,26.6
2017,11,17,24.9,0,15.2
2017,11,18,24.1,2.2,26.7
2017,11,19,23.4,0.2,23.5
2017,11,20,24.5,0,29.2
2017,11,21,25.6,0,29.4
2017,11,22,29.7,0,30.1
2017,11,23,31.3,0,30.9
2017,11,24,32.6,0,27.8
2017,11,25,29.9,0,31
2017,11,26,33,0,29.4
2017,11,27,27.7,0,28.6
2017,11,28,23.4,0,23.8
2017,11,29,23,0.2,22.4
2017,11,30,23.7,0,30.5
2017,12,1,27.8,0,31.4
2017,12,2,34.5,0,31.4
2017,12,3,35.5,0,19.5
2017,12,4,25.1,7.4,10.4
2017,12,5,27.3,0,28.6
2017,12,6,27.9,0,31.7
2017,12,7,29,0,31.8
2017,12,8,35.2,0,30.6
2017,12,9,33.2,0,13.1
2017,12,10,37.7,0,29.9
2017,12,11,37.6,0,31.5
2017,12,12,27.6,0,30.8
2017,12,13,25.3,0,28.6
2017,12,14,27.6,0,32
2017,12,15,29.5,0,30.5
2017,12,16,27.8,0,29.3
2017,12,17,21.9,2.6,23.1
2017,12,18,20.9,22.2,23.1
2017,12,19,23.4,8.4,31.9
2017,12,20,28.9,0,32
2017,12,21,36.1,0,32
2017,12,22,31.7,0,32
2017,12,23,30.5,0,32
2017,12,24,33.7,0,32
2017,12,25,32.5,0,32
2017,12,26,26.4,0,30.3
2017,12,27,25.2,0,31.4
2017,12,28,25.8,0,31.9
2017,12,29,28.3,0,31.9
2017,12,30,34.7,0,31.9
2017,12,31,32,0,31.8
